blog,Mac,Hourglass,MUFE,Fenty,Estee Lauder,Tarte,Too Faced,NARS,Armani,Urban Decay,Beauty Blender,Dior
SophDoesNails,,,,120,,12S Fair Sand,Snow/ Almond (tanned),Mont Blanc,,,,
ThaTaylaa,NC15,Cream/Alabaster,115,120,1C0,12N - 16N,Snow,,,,,
Shaanxo / Shannon,,,,130,,,,Deauville,,,,1.5N
RawBeautyKristi,,Ivory/Warm Ivory,,140,,,,,,,,
Sharon Farrell,NC15/NW20,,,150,,,,Mont Blanc,,,,
Kandee Johnson,,,,150,,,,,,,,
MannyMUA,,,,170,,20B Light,,Vienna,,3.25,,
James Charles,,,,170,,,,,,,,
Desi Perkins,,,,180,,,,Barcelona,,,,
Kathleenlights,,Warm Ivory,Y305,180,,,,,,,,
Jamie Paige,C2,Ivory,,190,,,Ivory,Gobi,,,,
Lauren Curtis,,,,190,,,,,,,,
Jaclyn Hill,,,,210,,29N Light Medium,,,,,,
Melissa Alatorre,NC30,Sand,Ultra Y365,240,2W2 Rattan,35S,Golden Beige/Al,Guadalupe,6,,,
Saaammage,NC30,Sand,Ultra Y365 and #40 Matt Velvet,240,2W2 Rattan,35S,,Vanatu,6,50WY,3.2,3W
Tati - GlamLifeGuru,,Natural,,260,,,,Santa Fe,,,3.1,
iluvsarahii / Karen,NC35,,,"260 (Matte), 
290 (Hydrating)",,,,,,,,
Chloe Morello,NC15/NC35,,,280,,,,,,,3.45 (When Tan),
Nikkia Joy,,,,290,3W Tawny,27S,Sand,Stromboli,,,,3W
Lustrelux / Katy,,,,290,,,,,,,,
Teni Panosian,,Golden Tan,Ultra Y375,290,,,,,,,,
Samantha Jane,NC42,,,310,4W1/4W2,,,Syracuse,,,,
Dacey Cash,C6 (F&B),,,310,,,,Vanatu,,,3.2,3W
kinkysweat / Alicia,NC42,,Y425,310,,,Praline,,,,,
Taylor Anise,,,Ultra HD Y445,370,,,Butter Pecan,,,,,
Huda Kattan/ HudaBeauty,,,,380,,,,,,,,
MakeupShayla,"NC45, NW43",Warm Honey,Matte Velvet Y503,390,,,,,,,,
Jackie Aina,NW45,,,420,,,Chai,Macao,,,,
Nyma Tang,NW58,Espresso,R540,490,,,,Mali,,,,
NikkieTutorials,NW15,,,110 + 130,,,,,,,,
Samantha Ravndahl,NC30,Nude/Ivory,,130-290,,,,,,,,
Zoella/ Zoe Sugg,,,,140 (200 when tan),,,,,,,,
Jeffree Star,,Alabaster,,140+170,,,,,,,,
Ali Andreea,,,,180 or 290,,,,Fiji in natural radiant and Stromboli in Sheer Glow,5,,,
Mel Thompson,NC20,Buff,Y245,190; Hydrating 230,2N1,22N Light Neutral,,,,3.0 / 31NN; Stay Naked 31NN+40NN mixed,,
Nicol Concilio,,Golden,,"200, 260",,35N,,,,50NN,,
Alissa Ashley,,,,370/410,,,Mocha,,,,,
Patricia Bright,,,,430/440,,,Spiced Rum,Benares or New Orleans,,,,
Kawailove,NC42,Beige,,,,,,Barcelona,7.5,,,
Mariah Leonard,,Warm Ivory,,,,,,Deauville,,,,
Karima McKimmie,C1,Beige and Bisque,,,,Light Medium Neutral,,Fiji,4,4,,
Eman,,,,,,,,Sahel,,,,
Stephanie Nicole,NC20,,R230 & R260,,,,Nude,Santa Fe,5,,,
Michele Wang,NW15/NC20,Shell,,,,,,,4/4.5,,,
Shelby Wilson,C1 (F&B),,ultra HD Stick R330,,,,,,,,,1W
FleurdeForce,,,,,,,,,,,,
Allana Davison,,,,,,,,,,,,
RachhLoves,,,,,,,,,,,,
Gina Shkeda,,,,,,,,,,,,
ThatsSoYin,,,,,,,Golden Beige,,,40WY and 50WY,,
DAS,,,,,,,,,,,,
