blog,skin,undertone,group
SophDoesNails,Oily,Pink,1
ThaTaylaa,Normal/Dry,Neutral,1
Shaanxo / Shannon,,,1
RawBeautyKristi,Dry,Neutral,1
Sharon Farrell,Combination/Oily,Pink,1
Kandee Johnson,,,1
MannyMUA,,Pink,1
James Charles,,,1
Desi Perkins,Combination/Oily,Olive,2
Kathleenlights,Dry,Yellow,1
Jamie Paige,Dry,,1
Lauren Curtis,Normal,Pink,1
Jaclyn Hill,Normal/Dry,,1
Melissa Alatorre,,Olive,3
Saaammage,Combination/Oily,Yellow,2
Tati - GlamLifeGuru,Combination/Dry,Neutral,1
iluvsarahii / Karen,Combination/Dry,,3
Chloe Morello,Combination/Oily,Olive,1
Nikkia Joy,Oily,,2
Lustrelux / Katy,Combination/Dry,Neutral,2
Teni Panosian,Dry/Normal,,2
Samantha Jane,Oily,,3
Dacey Cash,Dry,Olive,2
kinkysweat / Alicia,,,4
Taylor Anise,Oily,Pink,4
Huda Kattan/ HudaBeauty,,,3
MakeupShayla,Combination/Oily,,4
Jackie Aina,Oily,Yellow,4
Nyma Tang,Oily,Red,4
NikkieTutorials,Dry,Pink,1
Samantha Ravndahl,Normal/Dry,Yellow,1
Zoella/ Zoe Sugg,,,1
Jeffree Star,Normal/Dry,Pink,1
Ali Andreea,,,2
Mel Thompson,Combination,Yellow,1
Nicol Concilio,Dry,,1
Alissa Ashley,Combination/dry,Yellow,3
Patricia Bright,,,4
Kawailove,,,2
Mariah Leonard,Dry,Yellow,1
Karima McKimmie,Dry,Olive,1
Eman,,Yellow,2
Stephanie Nicole,,,1
Michele Wang,Dry,Yellow,1
Shelby Wilson,,,1
FleurdeForce,Normal,Pink,1
Allana Davison,,,1
RachhLoves,Normal/Dry,Yellow,1
Gina Shkeda,,,2
ThatsSoYin,Normal,,2
DAS,,Olive,2
